date,births,,,,,,
21-10-2015,12093,,,,,,
22-10-2015,12013,,,,,,
23-10-2015,11942,,,,,,
24-10-2015,8239,,,,,,
25-10-2015,7288,,,,,,
26-10-2015,11923,,,,,,
27-10-2015,12485,,,,,,
28-10-2015,12266,,,,,,
29-10-2015,11950,,,,,,
30-10-2015,11529,,,,,,
31-10-2015,8049,,,,,,
01-11-2015,7731,,,,,,
02-11-2015,12236,,,,,,
03-11-2015,12524,,,,,,
04-11-2015,12279,,,,,,
05-11-2015,12452,,,,,,
06-11-2015,11909,,,,,,
07-11-2015,8517,,,,,,
08-11-2015,7324,,,,,,
09-11-2015,11688,,,,,,
10-11-2015,12451,,,,,,
11-11-2015,12311,,,,,,
12-11-2015,12329,,,,,,
13-11-2015,11643,,,,,,
14-11-2015,8221,,,,,,
15-11-2015,7378,,,,,,
16-11-2015,11791,,,,,,
17-11-2015,12321,,,,,,
18-11-2015,12230,,,,,,
19-11-2015,12504,,,,,,
20-11-2015,12495,,,,,,
21-11-2015,8392,,,,,,
22-11-2015,7427,,,,,,
23-11-2015,12419,,,,,,
24-11-2015,13051,,,,,,
25-11-2015,11745,,,,,,
26-11-2015,7332,,,,,,
27-11-2015,8942,,,,,,
28-11-2015,7734,,,,,,
29-11-2015,7230,,,,,,
30-11-2015,12214,,,,,,
01-12-2015,13185,,,,,,
02-12-2015,12708,,,,,,
03-12-2015,12281,,,,,,
04-12-2015,11828,,,,,,
05-12-2015,8262,,,,,,
06-12-2015,7194,,,,,,
07-12-2015,11567,,,,,,
08-12-2015,12328,,,,,,
09-12-2015,11857,,,,,,
10-12-2015,12259,,,,,,
11-12-2015,11406,,,,,,
12-12-2015,8073,,,,,,
13-12-2015,7262,,,,,,
14-12-2015,11753,,,,,,
15-12-2015,12437,,,,,,
16-12-2015,12282,,,,,,
17-12-2015,12339,,,,,,
18-12-2015,12247,,,,,,
19-12-2015,8368,,,,,,
20-12-2015,7361,,,,,,
21-12-2015,12692,,,,,,
22-12-2015,13131,,,,,,
23-12-2015,11595,,,,,,
24-12-2015,8714,,,,,,
25-12-2015,6515,,,,,,
26-12-2015,7294,,,,,,
27-12-2015,7518,,,,,,
28-12-2015,13100,,,,,,
29-12-2015,13458,,,,,,
30-12-2015,13100,,,,,,
31-12-2015,11608,,,,,,
